ProductID,ProductName,Category,UnitPrice
2000,Electronics-Signal,Electronics,969.31
2001,Electronics-Boost,Electronics,412.35
2002,Office-Family,Office,866.0
2003,Electronics-Training,Electronics,385.18
2004,Office-Where,Office,927.25
2005,Office-Huge,Office,428.78
2006,Office-Class,Office,198.0
2007,Clothing-Over,Clothing,583.39
2008,Electronics-Skin,Electronics,66.59
2009,Office-Raise,Office,66.31
2010,Electronics-Themselves,Electronics,77.84
2011,Electronics-Religious,Electronics,409.74
2012,Clothing-Artist,Clothing,623.19
2013,Office-Cultural,Office,935.36
2014,Clothing-Eat,Clothing,246.3
2015,Office-Itself,Office,674.97
2016,Home-He,Home,323.02
2017,Electronics-Feeling,Electronics,463.7
2018,Electronics-Nature,Electronics,542.26
2019,Home-History,Home,933.93
2020,Electronics-Share,Electronics,375.83
2021,Clothing-Skill,Clothing,835.41
2022,Home-Economy,Home,671.18
2023,Home-Yeah,Home,939.54
2024,Clothing-Paper,Clothing,124.27
2025,Electronics-Assume,Electronics,279.62
2026,Clothing-Use,Clothing,211.56
2027,Home-Purpose,Home,258.61
2028,Electronics-Take,Electronics,637.94
2029,Home-Yourself,Home,13.51
2030,Clothing-First,Clothing,169.97
2031,Office-Develop,Office,565.3
2032,Electronics-There,Electronics,945.6
2033,Clothing-Argue,Clothing,836.25
2034,Clothing-Feel,Clothing,136.17
2035,Home-According,Home,899.99
2036,Electronics-Candidate,Electronics,217.98
2037,Clothing-Meeting,Clothing,360.14
2038,Office-Soon,Office,926.51
2039,Clothing-Need,Clothing,976.44
2040,Clothing-Determine,Clothing,34.54
2041,Home-Assume,Home,804.21
2042,Clothing-Lawyer,Clothing,167.61
2043,Electronics-Practice,Electronics,873.45
2044,Office-Society,Office,207.58
2045,Office-Next,Office,312.14
2046,Clothing-Worry,Clothing,33.43
2047,Clothing-Hair,Clothing,334.98
2048,Electronics-Candidate,Electronics,357.63
2049,Office-Easy,Office,939.84
2050,Electronics-Young,Electronics,186.78
2051,Home-Century,Home,117.32
2052,Office-Year,Office,731.26
2053,Home-Ground,Home,610.15
2054,Electronics-Above,Electronics,900.51
2055,Clothing-Politics,Clothing,53.94
2056,Office-About,Office,524.72
2057,Clothing-Identify,Clothing,436.98
2058,Home-Wear,Home,666.75
2059,Electronics-Clear,Electronics,512.05
2060,Office-Term,Office,408.38
2061,Home-Quite,Home,199.92
2062,Office-Receive,Office,619.36
2063,Home-Good,Home,552.46
2064,Electronics-Stop,Electronics,294.04
2065,Office-Animal,Office,470.34
2066,Office-Occur,Office,516.06
2067,Clothing-Remain,Clothing,290.95
2068,Home-Read,Home,820.24
2069,Clothing-Garden,Clothing,232.39
2070,Clothing-About,Clothing,34.18
2071,Clothing-Success,Clothing,615.16
2072,Electronics-Become,Electronics,420.3
2073,Clothing-Executive,Clothing,499.43
2074,Clothing-Strong,Clothing,659.5
2075,Electronics-Letter,Electronics,780.64
2076,Clothing-Affect,Clothing,806.07
2077,Office-Ball,Office,561.83
2078,Electronics-Film,Electronics,142.01
2079,Office-Who,Office,950.54
2080,Office-Doctor,Office,832.26
2081,Office-Light,Office,746.22
2082,Office-Figure,Office,266.6
2083,Clothing-Cut,Clothing,768.16
2084,Office-Stuff,Office,281.85
2085,Electronics-Officer,Electronics,242.15
2086,Home-Of,Home,894.1
2087,Electronics-Rather,Electronics,159.32
2088,Office-Evening,Office,709.35
2089,Electronics-Action,Electronics,413.52
2090,Office-Staff,Office,71.64
2091,Office-Mrs,Office,905.79
2092,Electronics-Add,Electronics,482.21
2093,Home-Real,Home,755.94
2094,Office-Fight,Office,493.35
2095,Home-Seem,Home,490.79
2096,Office-Discuss,Office,672.18
2097,Office-Recent,Office,842.1
2098,Clothing-Trouble,Clothing,907.86
2099,Electronics-Several,Electronics,646.32
